Path;Travel weight;Elapsed time;Best solution;Deviation;Algorithm
1 3 2 1 ;14;6,69e-05;14;-1500;DfsBruteForce
1 3 2 1 ;14;2,76e-05;14;-1500;TspNN
1 3 2 1 ;14;30;14;-1500;TspRand
3 2 1 3 ;14;5,7e-05;14;-1500;TspBabDfs
3 2 1 3 ;14;0,0001389;14;-1500;TspBabBfs
3 2 1 3 ;14;5,66e-05;14;-1500;TspBabBestFs
1 2 3 1 ;11;4,63e-05;11;-1200;DfsBruteForce
2 3 1 2 ;11;2,31e-05;11;-1200;TspNN
1 2 3 1 ;11;30;11;-1200;TspRand
3 1 2 3 ;11;5,76e-05;11;-1200;TspBabDfs
3 1 2 3 ;11;6,05e-05;11;-1200;TspBabBfs
3 1 2 3 ;11;6,94e-05;11;-1200;TspBabBestFs
1 2 3 1 ;13;4,61e-05;13;-1400;DfsBruteForce
2 3 1 2 ;13;2,73e-05;13;-1400;TspNN
1 2 3 1 ;13;30;13;-1400;TspRand
3 1 2 3 ;13;5,76e-05;13;-1400;TspBabDfs
3 1 2 3 ;13;6,08e-05;13;-1400;TspBabBfs
3 1 2 3 ;13;6,88e-05;13;-1400;TspBabBestFs
1 3 2 1 ;14;3,68e-05;14;-1500;DfsBruteForce
1 3 2 1 ;14;2,77e-05;14;-1500;TspNN
1 3 2 1 ;14;30;14;-1500;TspRand
3 2 1 3 ;14;5,33e-05;14;-1500;TspBabDfs
3 2 1 3 ;14;5,61e-05;14;-1500;TspBabBfs
3 2 1 3 ;14;6,35e-05;14;-1500;TspBabBestFs
1 3 2 1 ;16;4,59e-05;16;-1700;DfsBruteForce
1 3 2 1 ;16;2,34e-05;16;-1700;TspNN
3 2 1 3 ;16;30;16;-1700;TspRand
3 2 1 3 ;16;4,9e-05;16;-1700;TspBabDfs
3 2 1 3 ;16;4,01e-05;16;-1700;TspBabBfs
3 2 1 3 ;16;5,79e-05;16;-1700;TspBabBestFs
1 3 2 1 ;20;4,56e-05;20;-2100;DfsBruteForce
2 1 3 2 ;20;2,26e-05;20;-2100;TspNN
2 1 3 2 ;20;30;20;-2100;TspRand
3 2 1 3 ;20;7,14e-05;20;-2100;TspBabDfs
3 2 1 3 ;20;6,61e-05;20;-2100;TspBabBfs
3 2 1 3 ;20;7,42e-05;20;-2100;TspBabBestFs
1 2 3 1 ;8;4,52e-05;8;-900;DfsBruteForce
1 2 3 1 ;8;2,76e-05;8;-900;TspNN
1 2 3 1 ;8;30;8;-900;TspRand
3 1 2 3 ;8;4,08e-05;8;-900;TspBabDfs
3 1 2 3 ;8;4,38e-05;8;-900;TspBabBfs
3 1 2 3 ;8;4,9e-05;8;-900;TspBabBestFs
1 3 2 1 ;21;3,74e-05;21;-2200;DfsBruteForce
1 3 2 1 ;21;2,24e-05;21;-2200;TspNN
1 2 3 1 ;21;30;21;-2200;TspRand
3 1 2 3 ;21;6,18e-05;21;-2200;TspBabDfs
3 2 1 3 ;21;7,83e-05;21;-2200;TspBabBfs
